,licensed_certified,facid,fac_status_type_code,facname,fac_type_code,fac_fdr,ltc,capacity,address,city,zip,county_code,county_name,district_number,district_name,isfacmain,fac_fac_relationship_type_code,cclho_code,cclho_name,fips_county_code,data_date
10,LICENSED AND CERTIFIED,10000043,OPEN,PARK VIEW POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,116,3751 MONTGOMERY DR,SANTA ROSA,95405,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
11,LICENSED AND CERTIFIED,10000047,OPEN,NORTHBROOK HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,70,64 NORTHBROOK WAY,WILLITS,95490,330,MENDOCINO,11,SANTA ROSA,Y,PARENT,23,MENDOCINO,6045,2024-03-15 00:00:00
12,LICENSED AND CERTIFIED,10000052,OPEN,PETALUMA POST-ACUTE REHAB,SNF,SKILLED NURSING FACILITY,LTC,90,1115 B ST,PETALUMA,94952,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
13,LICENSED AND CERTIFIED,10000059,OPEN,NORTHVINE POSTACUTE CARE,SNF,SKILLED NURSING FACILITY,LTC,62,446 ARROWOOD DR,SANTA ROSA,95407,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
14,LICENSED AND CERTIFIED,10000060,OPEN,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,99,6400 PURDUE DR,EUREKA,95503,110,HUMBOLDT,11,SANTA ROSA,Y,PARENT,12,HUMBOLDT,6023,2024-03-15 00:00:00
15,LICENSED AND CERTIFIED,10000062,OPEN,"SHERWOOD OAKS POST ACUTE CARE, LLC",SNF,SKILLED NURSING FACILITY,LTC,79,130 DANA ST,FORT BRAGG,95437,330,MENDOCINO,11,SANTA ROSA,Y,PARENT,23,MENDOCINO,6045,2024-03-15 00:00:00
16,LICENSED AND CERTIFIED,10000066,OPEN,BROADWAY VILLA POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,144,1250 BROADWAY,SONOMA,95476,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
17,LICENSED AND CERTIFIED,10000075,OPEN,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,104,2321 NEWBURG RD,FORTUNA,95540,110,HUMBOLDT,11,SANTA ROSA,Y,PARENT,12,HUMBOLDT,6023,2024-03-15 00:00:00
18,LICENSED AND CERTIFIED,10000076,OPEN,SUMMERFIELD HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,70,1280 SUMMERFIELD RD,SANTA ROSA,95405,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
19,LICENSED AND CERTIFIED,10000078,OPEN,"EUREKA REHABILITATION & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,99,2353 23RD ST,EUREKA,95501,110,HUMBOLDT,11,SANTA ROSA,Y,PARENT,12,HUMBOLDT,6023,2024-03-15 00:00:00
20,LICENSED AND CERTIFIED,10000079,OPEN,HILLCREST POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,59,450 HAYES LN,PETALUMA,94952,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
21,LICENSED AND CERTIFIED,10000080,OPEN,UKIAH POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,54,1349 S DORA ST,UKIAH,95482,330,MENDOCINO,11,SANTA ROSA,Y,PARENT,23,MENDOCINO,6045,2024-03-15 00:00:00
22,LICENSED AND CERTIFIED,10000082,OPEN,REDWOOD COVE HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,68,1162 S DORA ST,UKIAH,95482,330,MENDOCINO,11,SANTA ROSA,Y,PARENT,23,MENDOCINO,6045,2024-03-15 00:00:00
23,LICENSED AND CERTIFIED,10000086,OPEN,BAYBERRY HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,400 AGUIRRE WAY,NAPA,94559,380,NAPA,11,SANTA ROSA,Y,PARENT,28,NAPA,6055,2024-03-15 00:00:00
24,LICENSED AND CERTIFIED,10000087,OPEN,BUTLER VALLEY,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,380 12TH ST,ARCATA,95521,110,HUMBOLDT,11,SANTA ROSA,Y,PARENT,12,HUMBOLDT,6023,2024-03-15 00:00:00
25,LICENSED AND CERTIFIED,10000088,OPEN,BUTLER VALLEY #2,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,3971 F ST,EUREKA,95503,110,HUMBOLDT,11,SANTA ROSA,Y,PARENT,12,HUMBOLDT,6023,2024-03-15 00:00:00
26,LICENSED AND CERTIFIED,10000089,OPEN,"NEW HAVEN - ICF-DD -H, INCORPORATED",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,100 SAWYER ST,VALLEJO,94589,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
27,LICENSED AND CERTIFIED,10000096,OPEN,KAISER FOUNDATION HOSPITAL HOME HEALTH-VALLEJO,HHA,HOME HEALTH AGENCY,NON-LTC,0,975 SERENO DR,VALLEJO,94589,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
28,LICENSED AND CERTIFIED,10000140,OPEN,CENTERWELL HOME HEALTH,HHA,HOME HEALTH AGENCY,NON-LTC,0,5341 OLD REDWOOD HWY,PETALUMA,94954,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
29,LICENSED AND CERTIFIED,10000148,OPEN,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE,HHA,HOME HEALTH AGENCY,NON-LTC,0,5196 HILL RD E,LAKEPORT,95453,160,LAKE,11,SANTA ROSA,Y,PARENT,17,LAKE,6033,2024-03-15 00:00:00
30,LICENSED AND CERTIFIED,10000149,OPEN,PROVIDENCE HOME HEALTH NAPA VALLEY,HHA,HOME HEALTH AGENCY,NON-LTC,0,980 TRANCAS ST,NAPA,94558,380,NAPA,11,SANTA ROSA,Y,PARENT,28,NAPA,6055,2024-03-15 00:00:00
31,LICENSED AND CERTIFIED,10000150,OPEN,ADVENTIST HEALTH HOME CARE SERVICES,HHA,HOME HEALTH AGENCY,NON-LTC,0,9245 HIGHWAY 53,LOWER LAKE,95457,160,LAKE,11,SANTA ROSA,Y,PARENT,17,LAKE,6033,2024-03-15 00:00:00
32,LICENSED AND CERTIFIED,10000156,OPEN,NORTHBAY HEALTH AT HOME,HHA,HOME HEALTH AGENCY,NON-LTC,0,2470 HILBORN RD,FAIRFIELD,94534,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
33,LICENSED AND CERTIFIED,10000158,OPEN,PROVIDENCE HOME HEALTH HUMBOLDT,HHA,HOME HEALTH AGENCY,NON-LTC,0,2127 HARRISON AVE.,EUREKA,95501,110,HUMBOLDT,11,SANTA ROSA,Y,PARENT,12,HUMBOLDT,6023,2024-03-15 00:00:00
34,LICENSED AND CERTIFIED,10000160,OPEN,MILESTONES OF DEVELOPMENT #1,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,150 HILLVIEW DR,VALLEJO,94591,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
35,LICENSED AND CERTIFIED,10000162,OPEN,MILESTONES OF DEVELOPMENT #3,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,178 SUNRISE WAY,VALLEJO,94591,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
36,LICENSED AND CERTIFIED,10000163,OPEN,MILESTONES OF DEVELOPMENT #4,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,132 TERRYBROOK LN,VALLEJO,94591,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
37,LICENSED AND CERTIFIED,10000164,OPEN,MILESTONES OF DEVELOPMENT #5,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,200 LYTHAM WAY,VALLEJO,94591,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
38,LICENSED AND CERTIFIED,10000169,OPEN,ADVENTIST HEALTH HOME CARE SERVICES,HHA,HOME HEALTH AGENCY,NON-LTC,0,700 RIVER DR,FORT BRAGG,95437,330,MENDOCINO,11,SANTA ROSA,Y,PARENT,23,MENDOCINO,6045,2024-03-15 00:00:00
39,LICENSED AND CERTIFIED,10000208,OPEN,SPRING LAKE VILLAGE,SNF,SKILLED NURSING FACILITY,LTC,70,5555 MONTGOMERY DR,SANTA ROSA,95409,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
40,LICENSED AND CERTIFIED,10000394,OPEN,"BENNETT VALLEY ICF/DD-H, INC.",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2416 CACTUS AVE,SANTA ROSA,95405,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
41,LICENSED AND CERTIFIED,10000431,OPEN,PETALUMA ICF/DDH,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,8,805 PETALUMA AVE,SONOMA,95476,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
42,LICENSED AND CERTIFIED,10000465,OPEN,BY THE BAY HEALTH,HHA,HOME HEALTH AGENCY,NON-LTC,0,355 W NAPA ST,SONOMA,95476,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
43,LICENSED AND CERTIFIED,10000480,OPEN,VELMA HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,1450 VELMA AVE,SANTA ROSA,95403,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
44,LICENSED AND CERTIFIED,10000481,OPEN,REDWOOD HOUSE,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,5028 OLD REDWOOD HWY,SANTA ROSA,95403,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
45,LICENSED AND CERTIFIED,10000487,OPEN,MAYETTE HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,4347 MAYETTE AVE,SANTA ROSA,95405,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
46,LICENSED AND CERTIFIED,10000572,OPEN,VICTORIA DRIVE HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2793 VICTORIA DR,SANTA ROSA,95407,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
47,LICENSED AND CERTIFIED,10000585,OPEN,FIFTY-O-ONE PARKHURST,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,5001 PARKHURST DR,SANTA ROSA,95409,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
48,LICENSED ONLY,10000587,OPEN,"HOME HEALTH CARE, INC.",HHA,HOME HEALTH AGENCY,NON-LTC,0,4983 SONOMA HWY,SANTA ROSA,95409,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
49,LICENSED AND CERTIFIED,10000598,OPEN,SACRAMENTO HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,4044 SACRAMENTO AVE,SANTA ROSA,95405,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
50,LICENSED AND CERTIFIED,10000620,OPEN,MUSTARD SEED,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,200 PEACH TREE AVE,VACAVILLE,95688,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
51,LICENSED AND CERTIFIED,10000652,OPEN,KAISER FOUNDATION HOSPITAL HOME HEALTH-SANTA ROSA,HHA,HOME HEALTH AGENCY,NON-LTC,0,3550 ROUND BARN BLVD,SANTA ROSA,95403,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
52,LICENSED AND CERTIFIED,10000654,OPEN,ADVENTIST HEALTH HOME CARE SERVICES,HHA,HOME HEALTH AGENCY,NON-LTC,0,100 SAN HEDRIN CIR,WILLITS,95490,330,MENDOCINO,11,SANTA ROSA,Y,PARENT,23,MENDOCINO,6045,2024-03-15 00:00:00
53,LICENSED AND CERTIFIED,10000659,OPEN,SUTTER COAST HOME CARE,HHA,HOME HEALTH AGENCY,NON-LTC,0,785 E. WASHINGTON BLVD,CRESCENT CITY,95531,70,DEL NORTE,11,SANTA ROSA,Y,PARENT,8,DEL NORTE,6015,2024-03-15 00:00:00
54,LICENSED AND CERTIFIED,10000673,OPEN,DOUGLAS HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,3825 DOUGLAS DR,SANTA ROSA,95405,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
55,LICENSED AND CERTIFIED,10000684,OPEN,PROVIDENCE HOME HEALTH SONOMA,HHA,HOME HEALTH AGENCY,NON-LTC,0,441 COLLEGE AVE,SANTA ROSA,95401,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
56,LICENSED AND CERTIFIED,10000792,OPEN,CROSSROADS,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,1250 WOODMAN WAY,DIXON,95620,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
57,LICENSED AND CERTIFIED,10000793,OPEN,PATHWAYS 2,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,1132 GULF DR,FAIRFIELD,94533,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
58,LICENSED AND CERTIFIED,10000801,OPEN,DANNY'S PLACE,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,6133 OLD REDWOOD HWY,SANTA ROSA,95403,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
59,LICENSED AND CERTIFIED,10000822,OPEN,BADGER CREEK,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,4520 BADGER RD,SANTA ROSA,95409,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
60,LICENSED AND CERTIFIED,10000860,OPEN,GREENFIELDS I ICF-DDN,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,219 TORREY PINES CT,VALLEJO,94591,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
61,LICENSED AND CERTIFIED,10000864,OPEN,CROSSROADS II,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,880 ALEXANDER DR,DIXON,95620,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
62,LICENSED ONLY,10000885,OPEN,"PACIFIC MEDICAL RESOURCES, INC.",HHA,HOME HEALTH AGENCY,NON-LTC,0,1102 S MAIN ST,FORT BRAGG,95437,330,MENDOCINO,11,SANTA ROSA,Y,PARENT,23,MENDOCINO,6045,2024-03-15 00:00:00
63,LICENSED AND CERTIFIED,10000907,OPEN,GREENFIELDS II ICF-DDN,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2673 VISTA BONITA,FAIRFIELD,94534,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
64,LICENSED AND CERTIFIED,10000923,OPEN,AT HOME NURSING SERVICES,HHA,HOME HEALTH AGENCY,NON-LTC,0,1378 CORPORATE CENTER PKWY,SANTA ROSA,95407,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
65,LICENSED AND CERTIFIED,10000936,OPEN,"SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,54,1601 5TH AVE,SAN RAFAEL,94901,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
66,LICENSED AND CERTIFIED,10000938,OPEN,SOUTH MARIN HEALTH & WELLNESS CENTER,SNF,SKILLED NURSING FACILITY,LTC,72,1220 S ELISEO DR,GREENBRAE,94904,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
67,LICENSED AND CERTIFIED,10000940,OPEN,NOVATO HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,181,1565 HILL RD,NOVATO,94947,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
68,LICENSED AND CERTIFIED,10000949,OPEN,PINE RIDGE CARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,101,45 PROFESSIONAL CENTER PKWY,SAN RAFAEL,94903,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
69,LICENSED ONLY,10000951,OPEN,TIBURON HILLS CARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,56,30 HACIENDA DR,BELVEDERE TIBURON,94920,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
70,LICENSED AND CERTIFIED,10000956,OPEN,SUTTER VISITING NURSES ASSOCIATION,HHA,HOME HEALTH AGENCY,NON-LTC,0,100 ROWLAND WAY,NOVATO,94945,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
71,LICENSED AND CERTIFIED,10000959,OPEN,MARIN POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,168,234 N SAN PEDRO RD,SAN RAFAEL,94903,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
72,LICENSED AND CERTIFIED,10000968,OPEN,PROFESSIONAL POST ACUTE CENTER,SNF,SKILLED NURSING FACILITY,LTC,99,81 PROFESSIONAL CENTER PKWY,SAN RAFAEL,94903,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
73,LICENSED AND CERTIFIED,10000980,OPEN,NORTHGATE POSTACUTE CARE,SNF,SKILLED NURSING FACILITY,LTC,54,40 PROFESSIONAL CENTER PKWY,SAN RAFAEL,94903,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
74,LICENSED AND CERTIFIED,10000985,OPEN,THE TAMALPAIS,SNF,SKILLED NURSING FACILITY,LTC,52,501 VIA CASITAS,GREENBRAE,94904,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
75,LICENSED AND CERTIFIED,10000995,OPEN,VILLA MARIN RETIREMENT RESIDENCES,SNF,SKILLED NURSING FACILITY,LTC,31,100 THORNDALE DR,SAN RAFAEL,94903,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
76,LICENSED AND CERTIFIED,10000998,OPEN,ABLE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,9,25 DE ANZA WAY,SAN RAFAEL,94903,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
77,LICENSED AND CERTIFIED,10001004,OPEN,KAISER FOUNDATION HOSPITAL HOME HEALTH-NOVATO,HHA,HOME HEALTH AGENCY,NON-LTC,0,7200 REDWOOD BLVD,NOVATO,94945,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
78,LICENSED AND CERTIFIED,10001007,OPEN,"THE REDWOODS, A COMMUNITY OF SENIORS",SNF,SKILLED NURSING FACILITY,LTC,58,40 CAMINO ALTO,MILL VALLEY,94941,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
79,LICENSED AND CERTIFIED,10001031,OPEN,STONEHAVEN,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2 STONEHAVEN CT,NOVATO,94947,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
80,LICENSED AND CERTIFIED,10001033,OPEN,"NOVA HOUSE, INC.",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,393 NOVA ALBION WAY,SAN RAFAEL,94903,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
81,LICENSED AND CERTIFIED,10001037,OPEN,SMITH RANCH SKILLED NURSING & REHABILITATION CENTER,SNF,SKILLED NURSING FACILITY,LTC,80,1550 SILVEIRA PKWY,SAN RAFAEL,94903,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
82,LICENSED ONLY,10001047,OPEN,HEART OF HUMANITY HEALTH SERVICES,HHA,HOME HEALTH AGENCY,NON-LTC,0,1400 GRANT AVE,NOVATO,94945,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
83,LICENSED AND CERTIFIED,10001124,OPEN,MONTE VERDE,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,5715 MONTE VERDE DR,SANTA ROSA,95409,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
84,LICENSED ONLY,10001128,OPEN,NEURORESTORATIVE CALIFORNIA,CLHF,CONGREGATE LIVING HEALTH FACILITY,LTC,12,2390 SIR FRANCIS DRAKE BLVD,FAIRFAX,94930,310,MARIN,11,SANTA ROSA,Y,PARENT,21,MARIN,6041,2024-03-15 00:00:00
85,LICENSED AND CERTIFIED,10001139,OPEN,GREENFIELDS III ICF-DDN,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,100 MORGAN CT,VALLEJO,94591,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
86,LICENSED AND CERTIFIED,10001140,OPEN,ARBOL RESIDENCES OF SANTA ROSA,SNF,SKILLED NURSING FACILITY,LTC,45,300 FOUNTAINGROVE PKWY,SANTA ROSA,95403,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
87,LICENSED AND CERTIFIED,10001143,OPEN,"PARADISE VALLEY ICF DDH, INC",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,3313 EL PINOLE WAY,FAIRFIELD,94533,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
88,LICENSED AND CERTIFIED,10001148,OPEN,SUTTER VISITING NURSE ASSOCIATION & HOSPICE,HHA,HOME HEALTH AGENCY,NON-LTC,0,110 STONY POINT RD,SANTA ROSA,95401,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
89,LICENSED AND CERTIFIED,10001150,OPEN,"EAST BAY HOME HEALTH SERVICES, INC.",HHA,HOME HEALTH AGENCY,NON-LTC,0,1710 PENNSYLVANIA AVE,FAIRFIELD,94533,580,SOLANO,11,SANTA ROSA,Y,PARENT,48,SOLANO,6095,2024-03-15 00:00:00
